string,title,year,citations,source_db,doi,abstract
Primaria,A Comparative Analysis of OCR Models for Key Information Extraction from Invoices,2025,2,IEEE,10.1109/aists66100.2025.11232602,"Extracting structured data from scanned invoices is a growing need across digital operations. Traditional OCR (Optical Character Recognition) systems, although widely used, often fail to extract text cleanly and meaningfully in noisy or skewed images. This research presents a preprocessing-enhanced OCR pipeline, combined with a Named Entity Recognition (NER) model, to benchmark OCR accuracy based on downstream tasks. Using EasyOCR, PyTesseract, and PaddleOCR, we evaluate precision, recall, and F1-score through a fine-tuned RoBERTa token classifier. PaddleOCR achieved the highest F1-score of 0.958, outperforming the rest. Our work proposes an efficient method to evaluate OCR outputs not only on text accuracy but also on their ability to extract semantic information—a practical perspective for real-world automation systems."
Primaria,MC-OCR Challenge 2021: Towards Document Understanding for Unconstrained Mobile-Captured Vietnamese Receipts,2021,4,IEEE,10.1109/rivf51545.2021.9642126,"The Mobile capture receipts Optical Character Recognition (MC-OCR) [14] challenge deliver two tasks: Receipt Image Quality Evaluation and Key Information Extraction. In the first task, we introduce a regression model to map various inputs, for instance the probability of the output OCR, cropped text boxes, images to actual label. In the second task, we propose a stacked multi-model as a solution to solve this problem. The robust models are incorporated by image segmentation, image classification, text detection, text recognition, and text classification. Follow this solution, we can get vital tackle various noise receipt types: horizontal, skew, and blur receipt."
Primaria,Design and Application of Electronic Invoice Information Systems using Rule-Based Model View Controller Framework with YOLOV8 Model,2025,1,IEEE,10.1109/ic3it66137.2025.11341366,"In recent years, the automation of invoice processing is essential for modern enterprises to enhance operational efficiency, reduce manual errors, and ensure regulatory compliance. However, existing simple Rule-based Enterprise Resource Planning (ERP) model often suffers from rigid rule definitions, poor adaptability to various invoice structures, and challenges integrating into a poorly designed workflow. To overcome these limitations, this research proposed an Electronic Invoice Information System (EIIS) using Rulebased Model View Controller (MVC) framework. Initially, the data collected from multiple source such as scanned documents, vendor emails, and ERP systems information. Then, proposed with Optical Character Recognition (OCR) which extract textual data from image-based invoices, while Natural Language Processing (NLP) technique is used to structure, tokenize and normalize invoice fields for downstream automation. The You Only Look Once version-8 (YOLOv8) model is integrated for detection and classification of Purchase Order (PO) and non-PO invoices. The MVC architecture separates data handling (Model), workflow logic (Controller), and user interfaces (View). Finally, Rule-based automation performed validation, approval, and payment actions follow logistic policies with tax regulations. Experimental evaluation demonstrates that the proposed Rule-based MVC framework achieved automation rate of 89% when compared with existing simple Rule-based ERP model."
Primaria,CyberChain: Enhancing Document Security with Blockchain and AI,2026,,IEEE,10.1109/ickecs70176.2026.11528085,"Digital documentation systems face critical challenges in authenticity verification and tamper detection. Traditional centralized approaches lack cryptographic validation and remain vulnerable to sophisticated forgery. This paper presents CyberChain, an intelligent security framework integrating blockchain-inspired hash chaining with AI-driven document classification. The system employs OCR for text extraction, transformer models for semantic categorization, and AES-256 encryption for confidential storage. Each document receives a SHA-256 cryptographic fingerprint, creating immutable verification trails. Implementation demonstrates successful classification across certificates, reports, IDs, and invoices with 87 percent confidence, while offline architecture eliminates cloud dependency and ensures data sovereignty."
Primaria,AI-Powered Document Analyzer,2026,,IEEE,10.1109/icoeca68095.2026.11485528,"The explosion of unstructured digital documents has rendered manual document processing not only inefficient but also hardly scalable. Different types of documents with diverse structures and qualities continue to come from organizations, making it even more challenging for them to accurately classify and extract information from these documents. To solve this issue, the paper proposes an AI- Powered Document Analyzer that combines Optical Character Recognition (OCR) with transformer, based Natural Language Processing (NLP) models to perform end, to, end document analysis. The suggested solution is tested through a mix of public and custom datasets of academic papers, invoices, and reports. The study of performance is done through accuracy, precision, recall, F1, score, and processing latency. Experimental data show that the LayoutLM model has reached a classification accuracy of 97.4% and an F1 score of 96.9%, thereby surpassing traditional machine learning methods as well as text-only transformer models. The results suggest that integrating layout and textual information enhances document comprehension and thus can be effectively used at scale for digital archiving, enterprise document management, and document verification applications."
Primaria,AI-Powered Smart Document Classification for Automated Document Management Systems,2026,,IEEE,10.1109/icesic67389.2026.11496472,"The high rate of growth of digital information has accelerated the demand for automated methods of sorting and categorizing the high volumes of documents. Manual processes are slow, prone to errors and cannot be used in various types like PDFs, scanned documents and structured reports. This paper proposes a document classification system, which is an artificial intelligence-based application, that combines Optical Character Recognition (OCR), Natural Language Processing (NLP), and machine learning to automate the process of document understanding and classification. Direct parsing and OCR pipelines are used to extract the text, and then preprocessing and TF-IDF based feature generation take place. Several classification algorithms, such as Support Vector Machines (SVM), Naive Bayes, Random Forest, and Logistic Regression, were tested, but the last one was chosen due to its speed, interpretability, and high accuracy on mid-sized textual data. Summarization, invoice field extraction, email-based ingestion and asynchronous background processing are also included in the system so that economical automation of workflow can be done practically. Future directions involve the use of Transformer-based language models to provide more detailed semantic meaning, multilingual OCR, resume classification as well as embedding based semantic search. The results show that the joint application of OCR, NLP, and ML methods presents a precise and extensive method of smart document classification, and auto-document handling."
Primaria,A Framework for Providing Structured Invoice Document using Optimized Bert Enabled Deep Convolutional Neural Network Classifier,2023,1,IEEE,10.1109/i-smac58438.2023.10290498,"Given the context of the COVID-19 pandemic, the efficient processing and management of COVID-19-related invoice documents have become crucial. These documents may contain critical information related to healthcare, supplies, and services provided during the pandemic. Ensuring accurate and efficient handling of such documents is essential for healthcare organizations, government agencies, and businesses involved in pandemic response. To address these challenges and streamline the invoice processing workflow, the framework known as Quash Hunt Optimization with Bidirectional Encoder Representations from Transformers-enabled Deep Convolutional Neural Network (QHtO-BERT enabled Deep CNN) is proposed that leverages the power of BERT, to capture semantic information from invoice text. Google Optical Character Recognition (OCR) is an advanced technology developed by Google, enabling the retrieval of text from images or scanned documents. The process of text annotation using Named Entity Recognition (NER) involves the task of recognizing and categorizing named entities existing within a provided text. The BERT-based approach significantly improves semantic understanding, while the optimized DCNN ensures feature extraction and classification tasks. The model's accuracy is elevated by harnessing the Hunting and Escaping characteristics within the QHtO algorithm. The performance of the QHtO-BERT-enabled Deep CNN method concerning accuracy, sensitivity, and, specificity stands at 94.7%, 95.92%, and 95.02%, respectively."
Primaria,Spatial-Aware Financial Document Understanding: A Region-Segmented OCR-LLM Pipeline with Layout-Encoded Prompting for Key-Value Extraction,2026,,IEEE,10.1109/eit68936.2026.11670412,"Financial document digitization remains a critical bottleneck in enterprise workflows, where invoices, receipts, and purchase orders must be accurately parsed into structured data for downstream accounting and analytics systems. Existing OCR-to-LLM pipelines typically process entire document pages as flat text streams, discarding the spatial layout information that is essential for disambiguating semantically overloaded fields in financial documents. In this paper, we propose a Spatial-Aware Document Understanding (SADU) framework that introduces a region-segmented OCR strategy coupled with a novel layout-encoded prompting mechanism for Large Language Models. Our pipeline employs PyMuPDF for PDF rendering, OpenCV-based contour analysis for semantic region segmentation into five document zones (Header, Metadata, Line Items, Totals, and Footer), Tesseract OCR applied independently per region, and a fine-tuned Gemma-2B model that receives spatially tagged OCR output for structured key-value extraction. We evaluate our approach on three publicly available benchmark datasets: ICDAR 2019 SROIE, CORD, and a filtered subset of RVL-CDIP. Experimental results demonstrate that the proposed SADU framework achieves an F1-score of 94.2% on SROIE key information extraction, representing a 4.8% improvement over flat-text OCR-LLM baselines. Comprehensive ablation studies confirm that both region-segmented OCR and layout-encoded prompting contribute independently and synergistically to the observed performance gains. The framework processes documents at an average latency of 1.87 seconds per page on consumer-grade GPU hardware, demonstrating practical viability for real-time enterprise deployment."
Primaria,AI Shredder: OCR and BERT-Driven Intelligent Document Redaction with Security Classification,2026,,IEEE,10.1109/esci68015.2026.11493218,"In enterprise, healthcare and legal sectors, secure document management is highly important. Manual redaction and masking by keywords are tedious and lack situational sensitivities. We introduce AI Shredder, the first combination of deep learning code that is built on top of an Optical Character Recognition (OCR), Regex patterns matching, Named Entities Recognition (NER), and transformed by BERT based networks into one unified pipeline. The new addition is a coherent combination of various detection modalities (OCR+ Regex structured entities; BERT contextual PII) with a risk-scoring system that allows making a clear classification by the level of risk: Low Confidentiality (risk score 0.35 or below), High Confidentiality (0.35 to 0.70), and Top Secret (0.70 and over). This justifiable method is in contrast to closed-box redaction systems. The system was tested on 2000 manually annotated RVLCDIP document images (125 per class, 4,847 entity-level annotations) with a accuracy of 79.65 and F1-score of 0.7940 and security-level agreement of 94.2% (Kappa: 0.91). Per-category analysis demonstrates good results with the structured documents (forms: 86.36, invoices: 86.79, budgets: 87.12) and indicates difficulties with the handwritten material (64.94%). The modular architecture is auditable with detailed redaction logs and can be used as a tool to meet the requirements of GDPR/HIPAA."
Primaria,Cheque Information Processing and Validation using Deep Learning,2024,1,IEEE,10.1109/gccit63234.2024.10862133,"Understanding document images, such as invoices, is a difficult task. It necessitates reading the text as well as comprehending the document’s general structure. Conventional techniques first extract text using Optical Character Recognition (OCR), yet this method has drawbacks. In addition to being computationally costly, OCR can have trouble converting between various languages and document formats and introduce errors that can compound throughout the analysis process.Donut is an OCR-free VDU (Visual Document Understanding) model that challenges this paradigm. It does not even bother with the text extraction stage; it analyzes the document image straight. This creative strategy produces notable advancements. Donut performs at the cutting edge, which means it is quick and precise. This is a significant development in the realm of visual document understanding since it enables Donut to handle a greater variety of languages and document types. The model has been tested using BLEU scores and ROUGE scores over 3 parameters namely – payee name, amount in words and amount in figure. The model has also been tested over variety of sample sizes ranging from 50 to 1000."
