"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Study on Handwritten Text Recognition and Post-OCR Error Correction Techniques","A. D. R N; P. Sravani; T. Aarthi; M. Shreshta; A. Negi; C. M. Reddy","Dept. of CSE, Gokaraju Institute of Engineering and Technology, Hyderabad, India; Dept. of CSE, Gokaraju Institute of Engineering and Technology, Hyderabad, India; Dept. of CSE, Gokaraju Institute of Engineering and Technology, Hyderabad, India; Dept. of CSE, Gokaraju Institute of Engineering and Technology, Hyderabad, India; University of Hyderabad, Hyderabad, India; Dept. of CSE, Gokaraju Institute of Engineering and Technology, Hyderabad, India",2026 9th International Conference on Trends in Electronics and Informatics (ICOEI),"3 Jun 2026","2026","","","1267","1272","Optical Character Recognition (OCR) of handwritten Telugu text remains a challenging task due to complex characters in the Telugu script and variable handwriting styles. Traditional OCR systems that use handcrafted features have shown limited performance on such data. Deep learning methods outperform traditional OCR methods because they learn patterns directly from images instead of depending on fixed rules. These methods also produce errors due to the visual similarity between the intra-class characters, variations in handwriting styles, and image quality. The introduction of post-OCR error correction techniques helped to eliminate these issues. In this post-OCR approach, the text which contains errors is generated by deep learning–based OCR models, is given as input to a post-OCR model that processes and corrects the incorrect text to produce a final corrected output. This survey focuses on OCR and post-OCR error correction methods and discusses their evaluated performance. The study is mainly towards Indic languages, and it shows that post-OCR models help improve performance.","","979-8-3315-7588-5","10.1109/ICOEI68323.2026.11541382","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11541382","OCR;HTR;CRNN;Post-OCR;Deep Learning;Sequence Modeling;Transformers","Modeling;Optical character recognition;Printing;Accuracy;Error analysis;Text recognition;Error correction;Sequences;Sequential analysis;Transformers","","","","27","IEEE","3 Jun 2026","21-23 April 2026","21-23 April 2026","IEEE","IEEE Conferences"
"OCR Error Correction: State-of-the-Art vs an NMT-based Approach","K. Mokhtar; S. S. Bukhari; A. Dengel","German University in Cairo, Egypt; University of Kaiserslautern, Germany; University of Kaiserslautern, Germany",2018 13th IAPR International Workshop on Document Analysis Systems (DAS),"25 Jun 2018","2018","","","429","434","Although the performance of the state-of-the-art OCR systems is very high, they can still introduce errors due to various reasons, and when it comes to historical documents with old manuscripts the performance of such systems gets even worse. That is why Post-OCR error correction has been an open problem for many years. Many state-of-the-art approaches have been introduced through the recent years. This paper contributes to the field of Post-OCR Error Correction by introducing two novel deep learning approaches to improve the accuracy of OCR systems, and a post processing technique that can further enhance the quality of the output results. These approaches are based on Neural Machine Translation (NMT) and were motivated by the great success that deep learning introduced to the field of Natural Language Processing. Finally, we will compare the state-of-the-art approaches in Post-OCR Error Correction with the newly introduced systems and discuss the results.","","978-1-5386-3346-5","10.1109/DAS.2018.63","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8395234","OCR Error Correction;OCR Post-Processing;Neural Machine Translation (NMT)","Optical character recognition software;Neural networks;Computer architecture;Dictionaries;Error correction;Decoding;Earth Observing System","","19","","8","IEEE","25 Jun 2018","24-27 April 2018","24-27 April 2018","IEEE","IEEE Conferences"
"Omni font OCR error correction with effect on retrieval","W. Magdy; K. Darwish","School of Computing, University of Dublin, Dublin, Ireland; Cairo Microsoft Innovation Center, Microsoft Research Limited, Cairo, Egypt",2010 10th International Conference on Intelligent Systems Design and Applications,"13 Jan 2011","2010","","","415","420","Recent library digitization projects attempt to provide large collections of printed material from varying sources in a searchable format. The scanned documents are typically processed using Optical Character Recognition (OCR), which typically introduces errors in the text. This paper proposes a technique for correction of OCR degraded text that is independent of character-level OCR errors, and hence independent of scanned document source. It is based on language modeling in conjunction with a uniform character model that uses edit distance only. The technique compares well to state-of-the-art correction techniques that are based on language modeling and source-specific character error models. Although the proposed technique yielded lower correction effectiveness, its impact on retrieval effectiveness is statistically significant and at par with state-of-the-art correction techniques. The main requirement of the proposed technique is the training of a “good” language model matching genre, style, and temporal coverage. The advantage of being independent of character level errors is clear in applications were printed documents vary in source, font, and degradation level.","2164-7151","978-1-4244-8136-1","10.1109/ISDA.2010.5687228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5687228","Arabic Text;Error Correction;Information Retrieval;Language Modeling;OCR","Optical character recognition software;Training;Error correction;Dictionaries;Degradation;Testing;Accuracy","","1","","32","IEEE","13 Jan 2011","29 Nov.-1 Dec. 2010","29 Nov.-1 Dec. 2010","IEEE","IEEE Conferences"
"Thai OCR error correction using genetic algorithm","B. Kruatrachue; K. Somguntar; K. Siriboon","Computer Engineering Department Faculty of Engineering, King Mongkut's Institute of Technology Ladkrabang, Research Center for Communication and Information Technology, Thailand; Computer Engineering Department Faculty of Engineering, King Mongkut's Institute of Technology Ladkrabang, Research Center for Communication and Information Technology, Thailand; Computer Engineering Department Faculty of Engineering, King Mongkut's Institute of Technology Ladkrabang, Research Center for Communication and Information Technology, Thailand","First International Symposium on Cyber Worlds, 2002. Proceedings.","25 Feb 2003","2002","","","137","141","This paper presents an efficient method for Thai OCR error correction based on genetic algorithm (GA). The correction process starts with word graph construction from spell checking with dictionary, then a graph is searched for a corrected sentence with the highest perplexity (using language model, bi-gram and tri-gram) and word probability from OCR. For a long sentence, a search space is huge and can be resolved using GA. A list of nodes is used for chromosome encoding to represent all possible paths in a graph instead of standard binary string. The performance of the suggested technique is evaluated and compared to the full search for tested sentences of different size constructed from 10 nodes to 200 nodes word graphs.","","0-7695-1862-1","10.1109/CW.2002.1180870","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1180870","","Optical character recognition software;Error correction;Genetic algorithms;Dictionaries;Character generation;Natural languages;Read only memory;Testing;Character recognition","","2","","7","IEEE","25 Feb 2003","6-8 Nov. 2002","6-8 Nov. 2002","IEEE","IEEE Conferences"
"myOCR: Optical Character Recognition for Myanmar language with Post-OCR Error Correction","T. Aung; Y. K. Thu; M. N. Oo","LU Lab., Myanmar Software Engineering, SIIE, KMITL, Bangkok, Thailand; LU Lab., Myanmar, LST, AINRU, NECTEC, NSTDA, Pathum Thani, Thailand; Robotics and AI Engineering, SIIE, KMITL, Bangkok, Thailand",2024 19th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP),"18 Dec 2024","2024","","","1","6","This paper presents the Myanmar Optical Character Recognition (OCR), named myOCR. It utilizes a synthetic text image dataset with 14 different font styles that contains 25,790 text images. The system includes Convolutional Neural Networks (CNN) for feature extraction, Bidirectional Long-Short Term Memory (BiLSTM) networks for sequence modeling, and Connectionist Temporal Classification (CTC) for decoding, evaluated across various iterations (3,000, 6,000, 9,000) and hidden states (64, 128, 256). Statistical Post-OCR correction methods involve N(3,4,5)-grams and edit distances with the Symmetric Delete Spelling correction algorithm (SymSpell). For Neural Machine Translation-based correction, BiLSTM and Transformer models are employed, while the mT5-base and mBART-50 models are used for LLM-based correction. The best base (optical) model is the model with 9,000 iterations that achieved a chrF++ score of over 97.90 and a Word Error Rate (WER) of 9.18%. Transformer correction improved its chrF++ to 99.31 and reduced the WER to 0.66%.","2831-4565","979-8-3315-0991-0","10.1109/iSAI-NLP64410.2024.10799448","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10799448","Optical Character Recognition;Myan-mar language;Synthetic data;Post-OCR;low-resource","Translation;Optical character recognition;Bidirectional long short term memory;Transformers;Optical imaging;Feature extraction;Adaptive optics;Natural language processing;Convolutional neural networks;Iterative decoding","","5","","25","IEEE","18 Dec 2024","11-15 Nov. 2024","11-15 Nov. 2024","IEEE","IEEE Conferences"
"OCR Error Correction Using BiLSTM","A. Kayabas; A. E. Topcu; Ö. Kiliç","Graduate School of Natural and Applied Sciences, Ankara Yildirim Beyazit University, Ankara, Turkey; College of Engineering and Technology, American University of the Middle East, Egaila, Kuwait; AI Software Engineer Cisco, San Jose, California, USA","2021 International Conference on Electrical, Computer and Energy Technologies (ICECET)","11 Feb 2022","2021","","","1","5","Language models have critical importance in the pre- and post-processing of optical character recognition (OCR). The quality of documents and scanners is important for OCR systems, with inferior quality leading to more erroneous output. For long time intervals of sequences, long short-term memory (LSTM) fulfills the requirements because it can solve problems with long-term dependencies. In this study, we evaluate the performance of error correction for OCR data using LSTM. The results show that we have good performance for correcting error words by using bidirectional LSTM (BiLSTM). We obtain 98.13% better performance in correcting error words by using OCRd data and 97.18% better performance by using social media data. In this respect, we show that the method we have applied can be used for error corrections.","","978-1-6654-4231-2","10.1109/ICECET52533.2021.9698712","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9698712","optical character recognition (OCR);long short-term memory (LSTM);non-word error;real-word error;error correction","Integrated optics;Social networking (online);Memory management;Adaptive optics;Error correction;Optical character recognition software;Character recognition","","4","","17","IEEE","11 Feb 2022","9-10 Dec. 2021","9-10 Dec. 2021","IEEE","IEEE Conferences"
"Data Driven Approach to Brahmi OCR Error Correction and Sinhala Meaning Generation from Brahmi Character Array","S. Wickramarathna; L. Ranathunga","Department of Information Technology, University of Moratuwa, Sri Lanka; Department of Information Technology, University of Moratuwa, Sri Lanka",2019 19th International Conference on Advances in ICT for Emerging Regions (ICTer),"5 Mar 2020","2019","250","","1","6","Brahmi is one of ancient scripting languages used in India, South and Central Asia. Brahmi inscriptions are the main source of getting information about ancient Sri Lanka. But manual translation process is very time consuming because Brahmi alphabet, word pattern, meaning and grammar are completely differing than the current Sinhala context. As these inscriptions have been discovered under the drip ledges of caves, rocks and slabs, it is a big challenge for Archaeologists to getting the data from these inscriptions and translating into Sinhala sentences because of various noises. This research paper is containing the after process of OCR character recognition phase, which proposed and implemented an efficient system which can take recognized Brahmi character array without word boundaries as input and convert it into meaningful Sinhala sentences by overcoming the OCR errors and word identification scoring method. Full system which consist of four modules is taking inputs of Brahmi inscription images, and this research module is the third module which takes the recognised Brahmi character array from the output of second module and mainly focused on word detection, overcome OCR errors using 3 error correction methods, Brahmi language model using 2 Bigram models and 1 Trigram model and translation.","2472-7598","978-1-7281-5156-4","10.1109/ICTer48817.2019.9023763","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9023763","Natural Language Processing (NLP);Optical Character Recognition (OCR);OCR correction;Bigram;Trigram","Optical character recognition software;Arrays;Error correction;Character recognition;Bidirectional control;Grammar","","4","","12","IEEE","5 Mar 2020","2-5 Sept. 2019","2-5 Sept. 2019","IEEE","IEEE Conferences"
"Progress of combining trigram and Winnow in Thai OCR error correction","S. Meknavin; B. Kijsirikul; A. Chotimongkol; C. Nuttee","National Electronics and Computer Technology Center, Bangkok, Thailand; Department of Computer Engineering, Chulalongkom University, Thailand; Department of Computer Engineering, Chulalongkom University, Thailand; Department of Computer Engineering, Chulalongkom University, Thailand",IEEE. APCCAS 1998. 1998 IEEE Asia-Pacific Conference on Circuits and Systems. Microelectronics and Integrating Systems. Proceedings (Cat. No.98EX242),"6 Aug 2002","1998","","","555","558","From specific characteristics of Thai, Thai OCR errors frequently depend on nearby characters. To capture this characteristic of Thai OCR errors more appropriately, we propose the idea of using the varied n-gram of the character confusion probability for scoring approximately matched words. The value of n depends on characteristics of each character. For languages which have no explicit word boundary, word boundary ambiguity has to be resolved before correcting errors. In this paper, a maximal matching algorithm is used instead of a more complicated word segmentation algorithm to reduce a time complexity problem. Finally, a hybrid method which combines a part-of-speech trigram model with Winnow algorithm is used to selected the most probable correction.","","0-7803-5146-0","10.1109/APCCAS.1998.743880","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=743880","","Optical character recognition software;Error correction;Computer errors;Natural languages;Character recognition","","4","","10","IEEE","6 Aug 2002","24-27 Nov. 1998","24-27 Nov. 1998","IEEE","IEEE Conferences"
"Dissimilarity Matrix: Bridging the Gap of Bangla OCR Error Correction Through a Novel Approach","N. Masrur; F. Satter; S. M. Masudul Ahsan","Khulna University of Engineering & Technology, Khulna, Bangladesh; Khulna University of Engineering & Technology, Khulna, Bangladesh; Khulna University of Engineering & Technology, Khulna, Bangladesh",2023 5th International Conference on Sustainable Technologies for Industry 5.0 (STI),"25 Mar 2024","2023","","","1","6","Optical Character Recognition (OCR) holds vital importance across sectors, including the Bangla language, yet errors endure due to intricate handwritten characters and vast character classes. Effective error correction methods are thus pivotal in the OCR post-processing stage, with room for enhancement despite existing techniques. Levenshtein Distance with dictionary lookup and subsequent contextual analysis are widely employed methods. This study introduces the novel Dissimilarity Matrix for enhanced OCR error correction. This method serves as an intermediary layer between the Levenshtein distance and contextual analysis by storing the degree of dissimilarity between two characters' appearances in a matrix. Since deep learning techniques are fundamental to most Bangla OCR systems, the proposed system leverages the cause of the error to correct it, particularly in cases where two characters are similar in appearance. The dissimilarity matrix was computed using both machine-generated and empirical values. A comparative investigation was undertaken between two proposed variants of dissimilarity matrices and the existing methodologies. The proposed empirical method achieved the best average F1-score of 93.04 percent and surpassed all other techniques in terms of speed, with an average run time of 0.20 seconds per word for contextual analysis. Notably, the study only considered primary Bangla characters and numeric characters, and compound characters can be incorporated to improve performance. With its swift processing time, the empirical dissimilarity matrix holds excellent potential for real-world applications.","","979-8-3503-9431-3","10.1109/STI59863.2023.10464527","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10464527","Bangla OCR;Error Correction;K-Means;VGG-16;GPT-2;Dissimilarity Matrix","Deep learning;Dictionaries;Optical character recognition;Feature extraction;Error correction;Frequency division multiplexing;Compounds","","","","24","IEEE","25 Mar 2024","9-10 Dec. 2023","9-10 Dec. 2023","IEEE","IEEE Conferences"
"Improving Book OCR by Adaptive Language and Image Models","D. -S. Lee; R. Smith","Google, Inc., Mountain View, CA, USA; Google, Inc., Mountain View, CA, USA",2012 10th IAPR International Workshop on Document Analysis Systems,"7 May 2012","2012","","","115","119","In order to cope with the vast diversity of book content and typefaces, it is important for OCR systems to leverage the strong consistency within a book but adapt to variations across books. We describe a system that combines two parallel correction paths using document-specific image and language models. Each model adapts to shapes and vocabularies within a book to identify inconsistencies as correction hypotheses, but relies on the other for effective cross-validation. Using the open source Tesseract engine as baseline, results on a large data set of scanned books demonstrate that word error rates can be reduced by 25 percent using this approach.","","978-0-7695-4661-2","10.1109/DAS.2012.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6195346","document-specific OCR;adaptive OCR;error correction","Text analysis;Conferences","","10","2","12","IEEE","7 May 2012","27-29 March 2012","27-29 March 2012","IEEE","IEEE Conferences"
