categoria,confianca,fonte,metodo,requer_confirmacao,lat_ms,hitl,y_true,descricao,erro,y_pred
Transporte,1.0,vetorial,vetorial,False,358.7381000397727,False,Transporte,UBER* TRIP,,Transporte
Transporte,1.0,vetorial,vetorial,False,25.724300066940486,False,Transporte,UBER* TRIP,,Transporte
Marketplace / E-commerce,0.9487742854399022,vetorial,vetorial,False,31.130600022152066,False,Marketplace / E-commerce,AMAZONMKTPLC*RAQUENACO,,Marketplace / E-commerce
Transporte,1.0,vetorial,vetorial,False,24.806200060993433,False,Transporte,UBER* TRIP,,Transporte
Despesas Diversas / Outros,0.95,llm,vetorial,False,26922.66399995424,False,Lazer e Entretenimento,INGRESSE,,Despesas Diversas / Outros
Lazer e Entretenimento,0.9673855711782331,vetorial,vetorial,False,32.896899967454374,False,Lazer e Entretenimento,DM HELPHBOMAXCOM,,Lazer e Entretenimento
Transporte,1.0,vetorial,vetorial,False,29.428299982100725,False,Transporte,Uber* Trip,,Transporte
Marketplace / E-commerce,0.9487742854399022,vetorial,vetorial,False,32.89129992481321,False,Marketplace / E-commerce,AMAZONMKTPLC*RAQUENACO,,Marketplace / E-commerce
Transporte,1.0,vetorial,vetorial,False,28.220499982126057,False,Transporte,UBER* TRIP,,Transporte
Transporte,0.9182115762905811,vetorial,vetorial,False,29.01440009009093,False,Transporte,EMIRATES AIRAWP/NVDZ2S,,Transporte
Transporte,1.0,vetorial,vetorial,False,27.338000014424324,False,Transporte,UBER* TRIP,,Transporte
Transporte,1.0,vetorial,vetorial,False,26.12209995277226,False,Transporte,Uber* Trip,,Transporte
Alimentação,0.8742927764313928,vetorial,vetorial,False,25.63930000178516,False,Alimentação,Supermercado Veran Lj1,,Alimentação
Transporte,1.0,vetorial,vetorial,False,26.826699962839484,False,Transporte,UBER* TRIP,,Transporte
Transporte,0.9182115762905811,vetorial,vetorial,False,25.896200095303357,False,Transporte,EMIRATES AIRAWP/NVDZ2S,,Transporte
Saúde,0.888934423289979,vetorial,vetorial,False,26.11340000294149,False,Saúde,Drogaria Sao Paulo,,Saúde
Despesas Diversas / Outros,0.95,llm,vetorial,False,27686.690300004557,False,Lazer e Entretenimento,PAYPAL  NUUVEMJOGOS,,Despesas Diversas / Outros
