categoria,confianca,fonte,metodo,requer_confirmacao,lat_ms,hitl,y_true,descricao,y_pred
Transporte,1.0,vetorial,vetorial,False,365.0976000353694,False,Transporte,UBER* TRIP,Transporte
Transporte,1.0,vetorial,vetorial,False,25.043300003744662,False,Transporte,UBER* TRIP,Transporte
Marketplace / E-commerce,0.9487742854399022,vetorial,vetorial,False,28.635800001211464,False,Marketplace / E-commerce,AMAZONMKTPLC*RAQUENACO,Marketplace / E-commerce
Transporte,1.0,vetorial,vetorial,False,23.308199946768582,False,Transporte,UBER* TRIP,Transporte
Despesas Diversas / Outros,1.0,llm,vetorial,False,16968.697700067423,False,Lazer e Entretenimento,INGRESSE,Despesas Diversas / Outros
Lazer e Entretenimento,0.9673855711782331,vetorial,vetorial,False,31.017300090752542,False,Lazer e Entretenimento,DM HELPHBOMAXCOM,Lazer e Entretenimento
Transporte,1.0,vetorial,vetorial,False,26.57689992338419,False,Transporte,Uber* Trip,Transporte
Marketplace / E-commerce,0.9487742854399022,vetorial,vetorial,False,29.03520001564175,False,Marketplace / E-commerce,AMAZONMKTPLC*RAQUENACO,Marketplace / E-commerce
Transporte,1.0,vetorial,vetorial,False,25.016400031745434,False,Transporte,UBER* TRIP,Transporte
Transporte,0.9182115762905811,vetorial,vetorial,False,29.7004000749439,False,Transporte,EMIRATES AIRAWP/NVDZ2S,Transporte
Transporte,1.0,vetorial,vetorial,False,24.921300006099045,False,Transporte,UBER* TRIP,Transporte
Transporte,1.0,vetorial,vetorial,False,23.30100000835955,False,Transporte,Uber* Trip,Transporte
Alimentação,0.8742927764313928,vetorial,vetorial,False,25.27889993507415,False,Alimentação,Supermercado Veran Lj1,Alimentação
Transporte,1.0,vetorial,vetorial,False,23.608399904333055,False,Transporte,UBER* TRIP,Transporte
Transporte,0.9182115762905811,vetorial,vetorial,False,23.484500008635223,False,Transporte,EMIRATES AIRAWP/NVDZ2S,Transporte
Saúde,0.888934423289979,vetorial,vetorial,False,23.869000026024878,False,Saúde,Drogaria Sao Paulo,Saúde
Despesas Diversas / Outros,0.9,llm,vetorial,False,21151.252800016664,False,Lazer e Entretenimento,PAYPAL  NUUVEMJOGOS,Despesas Diversas / Outros
