categoria,precisao,recall,f1,suporte
Alimentação,100.0,35.0,51.85185185185185,100
Transporte,100.0,84.61538461538461,91.66666666666666,39
Saúde,98.07692307692307,83.60655737704919,90.2654867256637,61
Moradia,14.285714285714285,25.0,18.181818181818183,4
Lazer e Entretenimento,100.0,50.74626865671642,67.32673267326733,67
Tecnologia,50.0,50.0,50.0,4
Marketplace / E-commerce,100.0,90.32258064516128,94.91525423728814,31
Vestuário,0.0,0.0,0.0,5
Beleza e Cuidados Pessoais,100.0,80.0,88.88888888888889,5
Educação,80.0,100.0,88.88888888888889,4
Pets,0.0,0.0,0.0,0
Serviços Financeiros,0.0,0.0,0.0,0
Doações e Presentes,0.0,0.0,0.0,0
Despesas Diversas / Outros,9.848484848484848,92.85714285714286,17.80821917808219,14
