categoria,precisao,recall,f1,suporte
Alimentação,90.74074074074075,98.0,94.23076923076923,100
Transporte,100.0,100.0,100.0,39
Saúde,100.0,88.52459016393442,93.91304347826087,61
Moradia,14.285714285714285,25.0,18.181818181818183,4
Lazer e Entretenimento,79.3103448275862,68.65671641791045,73.6,67
Tecnologia,0.0,0.0,0.0,4
Marketplace / E-commerce,96.66666666666667,93.54838709677419,95.08196721311475,31
Vestuário,0.0,0.0,0.0,5
Beleza e Cuidados Pessoais,0.0,0.0,0.0,5
Educação,100.0,100.0,100.0,4
Pets,0.0,0.0,0.0,0
Serviços Financeiros,0.0,0.0,0.0,0
Doações e Presentes,0.0,0.0,0.0,0
Despesas Diversas / Outros,55.55555555555556,35.714285714285715,43.47826086956522,14
