categoria,precisao,recall,f1,suporte
Alimentação,74.07407407407408,100.0,85.1063829787234,100
Transporte,100.0,84.61538461538461,91.66666666666666,39
Saúde,100.0,90.1639344262295,94.82758620689656,61
Moradia,0.0,0.0,0.0,4
Lazer e Entretenimento,94.11764705882352,95.52238805970148,94.81481481481482,67
Tecnologia,0.0,0.0,0.0,4
Marketplace / E-commerce,100.0,100.0,100.0,31
Vestuário,0.0,0.0,0.0,5
Beleza e Cuidados Pessoais,100.0,80.0,88.88888888888889,5
Educação,100.0,100.0,100.0,4
Pets,0.0,0.0,0.0,0
Serviços Financeiros,0.0,0.0,0.0,0
Doações e Presentes,0.0,0.0,0.0,0
Despesas Diversas / Outros,100.0,28.57142857142857,44.44444444444444,14
