categoria,precisao,recall,f1,suporte
Alimentação,69.44444444444444,100.0,81.9672131147541,100
Transporte,100.0,61.53846153846154,76.19047619047619,39
Saúde,100.0,88.52459016393442,93.91304347826087,61
Moradia,100.0,75.0,85.71428571428571,4
Lazer e Entretenimento,100.0,86.56716417910447,92.80000000000001,67
Tecnologia,0.0,0.0,0.0,4
Marketplace / E-commerce,100.0,96.7741935483871,98.36065573770492,31
Vestuário,0.0,0.0,0.0,5
Beleza e Cuidados Pessoais,100.0,80.0,88.88888888888889,5
Educação,100.0,100.0,100.0,4
Pets,0.0,0.0,0.0,0
Serviços Financeiros,0.0,0.0,0.0,0
Doações e Presentes,0.0,0.0,0.0,0
Despesas Diversas / Outros,46.15384615384615,42.857142857142854,44.44444444444444,14
