y_true,y_pred
Transporte,Transporte
Transporte,Transporte
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Lazer e Entretenimento,Despesas Diversas / Outros
Lazer e Entretenimento,Lazer e Entretenimento
Transporte,Transporte
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Transporte,Transporte
Transporte,Transporte
Transporte,Transporte
Alimentação,Alimentação
Transporte,Transporte
Transporte,Transporte
Saúde,Saúde
Lazer e Entretenimento,Despesas Diversas / Outros
Alimentação,Despesas Diversas / Outros
Marketplace / E-commerce,Tecnologia
Beleza e Cuidados Pessoais,Beleza e Cuidados Pessoais
Transporte,Transporte
Alimentação,Despesas Diversas / Outros
Transporte,Transporte
Transporte,Transporte
Alimentação,Alimentação
Lazer e Entretenimento,Despesas Diversas / Outros
Alimentação,Despesas Diversas / Outros
Alimentação,Alimentação
Transporte,Moradia
Transporte,Transporte
Lazer e Entretenimento,Despesas Diversas / Outros
Transporte,Transporte
Saúde,Saúde
Alimentação,Alimentação
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Alimentação,Despesas Diversas / Outros
Lazer e Entretenimento,Lazer e Entretenimento
Alimentação,Despesas Diversas / Outros
Lazer e Entretenimento,Lazer e Entretenimento
Lazer e Entretenimento,Despesas Diversas / Outros
Saúde,Saúde
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Saúde,Saúde
Transporte,Transporte
Lazer e Entretenimento,Despesas Diversas / Outros
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Vestuário,Despesas Diversas / Outros
Alimentação,Despesas Diversas / Outros
Lazer e Entretenimento,Despesas Diversas / Outros
Lazer e Entretenimento,Lazer e Entretenimento
Marketplace / E-commerce,Marketplace / E-commerce
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Marketplace / E-commerce,Despesas Diversas / Outros
