y_true,y_pred
Transporte,Transporte
Transporte,Transporte
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Transporte,Transporte
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Transporte,Alimentação
Transporte,Transporte
Transporte,Transporte
Alimentação,Alimentação
Transporte,Transporte
Transporte,Transporte
Saúde,Saúde
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Alimentação,Alimentação
Marketplace / E-commerce,Marketplace / E-commerce
Beleza e Cuidados Pessoais,Beleza e Cuidados Pessoais
Transporte,Transporte
Alimentação,Alimentação
Transporte,Transporte
Transporte,Transporte
Alimentação,Alimentação
Lazer e Entretenimento,Alimentação
Alimentação,Alimentação
Alimentação,Alimentação
Transporte,Alimentação
Transporte,Transporte
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Transporte,Transporte
Saúde,Saúde
Alimentação,Alimentação
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Alimentação,Alimentação
Lazer e Entretenimento,Alimentação
Alimentação,Alimentação
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Saúde,Saúde
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Saúde,Saúde
Transporte,Transporte
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Saúde,Saúde
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Vestuário,Transporte
Alimentação,Alimentação
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Marketplace / E-commerce,Marketplace / E-commerce
Saúde,Saúde
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Saúde,Saúde
Lazer e Entretenimento,Beleza e Cuidados Pessoais
Marketplace / E-commerce,Marketplace / E-commerce
Lazer e Entretenimento,Beleza e Cuidados Pessoais
