y_true,y_pred
Transporte,Transporte
Transporte,Transporte
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Lazer e Entretenimento,Lazer e Entretenimento
Lazer e Entretenimento,Lazer e Entretenimento
Transporte,Transporte
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Transporte,Transporte
Transporte,Transporte
Transporte,Transporte
Alimentação,Alimentação
Transporte,Transporte
Transporte,Transporte
Saúde,Saúde
Lazer e Entretenimento,Tecnologia
Alimentação,Alimentação
Marketplace / E-commerce,Lazer e Entretenimento
Beleza e Cuidados Pessoais,Alimentação
Transporte,Transporte
Alimentação,Alimentação
Transporte,Transporte
Transporte,Transporte
Alimentação,Alimentação
Lazer e Entretenimento,Despesas Diversas / Outros
Alimentação,Alimentação
Alimentação,Alimentação
Transporte,Transporte
Transporte,Transporte
Lazer e Entretenimento,Lazer e Entretenimento
Transporte,Transporte
Saúde,Saúde
Alimentação,Alimentação
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Alimentação,Alimentação
Lazer e Entretenimento,Lazer e Entretenimento
Alimentação,Alimentação
Lazer e Entretenimento,Lazer e Entretenimento
Lazer e Entretenimento,Lazer e Entretenimento
Saúde,Saúde
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Saúde,Saúde
Transporte,Transporte
Lazer e Entretenimento,Lazer e Entretenimento
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Vestuário,Moradia
Alimentação,Alimentação
Lazer e Entretenimento,Lazer e Entretenimento
Lazer e Entretenimento,Lazer e Entretenimento
Marketplace / E-commerce,Marketplace / E-commerce
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Marketplace / E-commerce,Marketplace / E-commerce
Lazer e Entretenimento,Lazer e Entretenimento
Alimentação,Alimentação
Educação,Educação
Alimentação,Alimentação
Lazer e Entretenimento,Lazer e Entretenimento
