y_true,y_pred
Transporte,Transporte
Transporte,Transporte
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Lazer e Entretenimento,Lazer e Entretenimento
Lazer e Entretenimento,Lazer e Entretenimento
Transporte,Transporte
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Transporte,Transporte
Transporte,Transporte
Transporte,Transporte
Alimentação,Alimentação
Transporte,Transporte
Transporte,Transporte
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Alimentação,Alimentação
Marketplace / E-commerce,Marketplace / E-commerce
Beleza e Cuidados Pessoais,Beleza e Cuidados Pessoais
Transporte,Transporte
Alimentação,Alimentação
Transporte,Transporte
Transporte,Transporte
Alimentação,Alimentação
Lazer e Entretenimento,Alimentação
Alimentação,Alimentação
Alimentação,Alimentação
Transporte,Alimentação
Transporte,Transporte
Lazer e Entretenimento,Lazer e Entretenimento
Transporte,Transporte
Saúde,Saúde
Alimentação,Alimentação
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Alimentação,Alimentação
Lazer e Entretenimento,Lazer e Entretenimento
Alimentação,Alimentação
Lazer e Entretenimento,Lazer e Entretenimento
Lazer e Entretenimento,Lazer e Entretenimento
Saúde,Saúde
Marketplace / E-commerce,Marketplace / E-commerce
Transporte,Transporte
Saúde,Saúde
Transporte,Transporte
Lazer e Entretenimento,Lazer e Entretenimento
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Vestuário,Alimentação
Alimentação,Alimentação
Lazer e Entretenimento,Lazer e Entretenimento
Lazer e Entretenimento,Lazer e Entretenimento
Marketplace / E-commerce,Marketplace / E-commerce
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Saúde,Saúde
Lazer e Entretenimento,Lazer e Entretenimento
Marketplace / E-commerce,Marketplace / E-commerce
Lazer e Entretenimento,Lazer e Entretenimento
Alimentação,Alimentação
Educação,Educação
Alimentação,Alimentação
